source,target,count,level
Delis,Fast Food,4,2
Cafes,Music Venues,1,2
Bakeries,"Beer, Wine & Spirits",1,2
Food Stands,Sandwiches,1,2
American (New),Food Trucks,1,2
Desserts,Food Delivery Services,2,2
Desserts,Shaved Ice,1,2
Sandwiches,Street Vendors,1,2
Bakeries,Caterers,2,2
Barbeque,Southern,2,2
Art Galleries,Art Museums,1,2
Caterers,Mexican,1,2
Cupcakes,Desserts,1,2
Food Trucks,Seafood,2,2
Breakfast & Brunch,Cafes,3,2
Skate Parks,Specialty Schools,1,2
Soul Food,Southern,3,2
Pizza,Vegan,2,2
American (New),Bars,1,2
Halal,Indonesian,1,2
Chicken Wings,Lounges,1,2
American (New),Beer Bar,1,2
Barbeque,Breakfast & Brunch,1,2
Indian,Vegan,1,2
Bars,Pizza,3,2
Breakfast & Brunch,Sandwiches,7,2
Japanese,Seafood,3,2
American (Traditional),Karaoke,1,2
Brazilian,Sandwiches,1,2
Breakfast & Brunch,Grocery,1,2
Custom Cakes,Desserts,4,2
Burgers,Coffee & Tea,4,2
American (New),Cocktail Bars,1,2
Asian Fusion,Sushi Bars,2,2
Seafood,Sports Bars,1,2
Bakeries,French,1,2
Burgers,Diners,2,2
Cocktail Bars,Mexican,1,2
Italian,Soup,1,2
Bars,Italian,3,2
Burmese,Halal,1,2
Persian/Iranian,Pizza,1,2
Mediterranean,Sandwiches,1,2
Bakeries,Cafes,1,2
Fish & Chips,Seafood,1,2
Cuban,Latin American,1,2
Gluten-Free,Japanese,1,2
Spanish,Venues & Event Spaces,1,2
Tapas Bars,Wine Bars,1,2
Lounges,Pizza,1,2
Ice Cream & Frozen Yogurt,Juice Bars & Smoothies,1,2
Gastropubs,Karaoke,1,2
American (Traditional),Steakhouses,2,2
American (Traditional),Ethiopian,1,2
Bakeries,Mexican,2,2
Chinese,Vegetarian,1,2
Cocktail Bars,Italian,1,2
Beer Bar,Izakaya,1,2
Buffets,Vegetarian,3,2
Chicken Wings,Pan Asian,1,2
Cupcakes,Custom Cakes,3,2
Bakeries,Vegan,1,2
"Beer, Wine & Spirits",Thai,1,2
Bubble Tea,Chinese,1,2
Chicken Shop,Southern,1,2
Chinese,Seafood,1,2
Indian,Pakistani,1,2
Asian Fusion,Hawaiian,1,2
Sandwiches,Soup,1,2
Mediterranean,Scandinavian,1,2
Salad,Seafood,1,2
Hawaiian,Poke,2,2
Food Delivery Services,Mediterranean,1,2
Coffee & Tea,Fast Food,3,2
Seafood,Soul Food,1,2
Bubble Tea,Juice Bars & Smoothies,1,2
Egyptian,Greek,1,2
Bakeries,Juice Bars & Smoothies,1,2
Food Trucks,Sandwiches,1,2
Mediterranean,Wraps,1,2
Gluten-Free,Pizza,1,2
Cocktail Bars,French,1,2
